denominationUniteLegale,siren,trancheEffectifsUniteLegale
INTRAMAR SA,055809404,31
SOCIETE LA FERMIERE,055811996,22
DEPAGNE,056500382,22
EMBOUTISSAGE DU MAIL,056501273,21
BECTON DICKINSON FRANCE,056501711,42
SAMSE,056502248,42
SKIS ROSSIGNOL - CLUB ROSSIGNOL,056502958,32
BMRA,056503097,41
SNEF,056800659,52
STUDIOCANAL,056801293,31
SA FOIRE INTERNATIONALE DE MARSEILLE,056802499,21
HOPITAL PRIVE LA CASAMANCE,056803117,32
LA PROVENCE,056806813,32
IGRECA,057200933,22
PODELIHA - ENTREPRISE SOCIALE POUR L'HABITAT - SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,057201139,32
ENTREPRISE HUMBERT ET CIE,057201378,21
CLENET,057202046,21
BLANCHISSERIE MOREL BORDET,057405409,21
ENTREPRISE MIDALI FRERES,057500902,22
SA HLM LOGEMENT ALPES RHONE,057501702,21
ETABLISSEMENTS PAYANT,057502148,22
BANQUE RHONE-ALPES,057502270,41
ANTINEA COURTAGE D'ASSURANCES,057502510,21
SOCIETE DAUPHINOISE DE CONSTRUCTIONS ELECTRO-MECANIQUES,057502668,21
DISTRITOYS,057502726,22
LE DAUPHINE LIBERE,057502742,42
AUDRAS ET DELAUNOIS,057503963,21
TEISSEIRE-FRANCE SAS,057504599,32
VICAT,057505539,41
R. ALLEMAND ET COMPAGNIE,057505638,21
SOCIETE D'HABITATIONS DES ALPES SA HLM,057506206,31
FREUDENBERG SEALING TECHNOLOGIES,057506677,32
LA MERIDIONALE,057801730,32
ETABLISSEMENTS MILHE ET AVONS,057802001,21
COMASUD,057802753,42
SOCIETE DES EAUX DE MARSEILLE,057806150,32
DELTA ASSURANCES,057808172,22
DISTRIBUTION AMENAGEMENT ET ISOLATION,057812968,32
SOCIETE DU CANAL DE PROVENCE ET D'AMENAGEMENT DE LA REGION PROVENCALE,057813131,41
PERASSO,057814683,21
CLINIQUE BOUCHARD,057818460,32
LAPHAL INDUSTRIES,057819799,22
BUCHER VASLIN,058200189,32
ETABLISSEMENTS GUIMARD,058200684,21
ALTER CITES,058201526,21
LOGEMENT ET GESTION IMMOBILIERE POUR LA REGION DE L OUEST,058201534,21
COTHERM,058501107,22
SOC DAUPHINOISE POUR L HABITAT,058502329,32
STEPAN EUROPE SA,058503327,22
STE EQUIP DE VILLARD&CORRENCON,058504135,22
CLINIQUE DU DAUPHINE,058504390,21
BANQUE POPULAIRE MEDITERRANEE,058801481,51
SOCIETE IMMOBILIERE DU PATHE-PALACE,058803156,21
PLEINAIR CASINO,058805003,21
ERILIA,058811670,41
PROX-HYDRO,058812397,31
SOCIETE HOTELIERE DU PALM BEACH,058812652,22
CAILLEAU PNEUS,059200188,21
GREGOIRE-BESSON,059200923,22
ALFA LAVAL VICARB,059500439,31
SARREL,059500504,32
GROUPE FERAUD,059805416,21
RACCORDS ET PLASTIQUES NICOLL,060200128,42
SOCIETE AUTOMOBILE CHOLETAISE,060200607,22
TETRA PAK PROCESSING EQUIPMENT SAS,060201290,22
ETS RICHARD PONTVERT ET CIE,060500147,22
ALGAFLEX,060500378,21
COMPAGNIE DE CHAUFFAGE INTERCOMMUNALE DE L'AGGLOMERATION GRENOBLOISE CC,060502291,31
LA BASTIDE SAINT-JEAN MAISON DE RETRAITE,060800968,21
ENTREPRISE H. REINIER,060801388,51
ORTEC INDUSTRIE,060801396,41
LES ROCHES BLANCHES DE CASSIS,060801487,21
LOGEMENT ET GESTION IMMOBILIERE POUR LA REGION MEDITERRANEENNE SA D HABITATIONS A LOYER MODERE,060804770,32
COMEC,061200226,22
MARTIN HEULIN,061200580,32
ATELIERS PERRAULT FRERES,061201083,22
CATERPILLAR FRANCE SAS,061500245,42
BDO RHONE-ALPES,061500542,31
WINOA,061500864,22
CHRISTAUD,061501615,21
ALLIMAND,061502274,22
CLINIQUE L EMERAUDE,061800090,22
MARSEILLE HABITAT,061800140,21
ETABLISSEMENTS H. SAINT-PAUL,061802070,21
L ABEILLE,062200225,22
CLINIQUE SAINT LEONARD,062200241,22
BRANGEON RECYCLAGE,062200753,22
MAISON PELE,062200852,21
LES LAVANDIERES,062201009,42
CROS,062500053,21
SOCIETE D'AMENAGEMENT FONCIER ET D'ETABLISSEMENT RURAL AUVERGNE RHONE ALPES,062500368,22
AUTOCARS ET TRANSPORTS GRINDLER,062501036,21
AMER SPORTS FRANCE,062501275,22
SDMS,062502257,21
PROTEC METAUX D ARENC,062801048,22
COMPAGNIE MARITIME D'EXPERTISES,062802459,21
CENTRALE EPICES ASSAISONNEMENT CONDIMENT,062805585,21
SEM DE CONSTR & GESTION LOGEMENTS,063200059,21
COURANT SA,063200273,22
MCPP FRANCE,063200604,31
BAKER TILLY STREGO,063200885,41
GARAGE MODERNE SA,063201404,21
JEAN LAIN DSA,063500847,21
FACTOFRANCE,063802466,32
CENTRE MEDICAL DIETETIQUE LES PALMIERS,063804033,21
JEHIER,064200025,32
PALAMY STE,064200629,22
DEUX ALPES LOISIRS,064501406,32
ATOS INFOGERANCE,064502636,42
ERIKS PLASTIQUES & COMPOSITES,064502693,21
LELY ENVIRONNEMENT,064503089,22
TRAVAUX PUBLICS DES PAYS DE LA LOIRE,065200339,32
CHOLET TP,065201055,21
BRTP,065500407,21
BETREC IG,065502395,22
COMPAGNIE FRUITIERE FRANCE,065801243,22
CRUDELI,065802308,22
CENTRE IMEX,065803637,21
CLINIQUE SAINT MARTIN,065804064,32
ETABLISSEMENTS FARSY,065804569,22
N D BON VOYAGE CENTRE REEDUCAT,065805590,21
CLINIQUE SAINT-JOSEPH,066200056,31
ANJOU TOLERIE STE,066200668,21
CEMADIS,066200957,22
DALKIA FROID SOLUTIONS,066201120,42
COLAS MAYOTTE,066305277,32
SECURIMAG,066305376,21
G.T.A. MAYOTTE,066307000,21
OUTOUNDA,066352071,22
DURANDAL,066353202,21
SAIEM GRENOBLE HABITAT,066500463,21
L'ENTRETIEN IMMOBILIER SA,066500810,22
L'APPAREILLAGE ELECTRIQUE DAUPHINOIS,066501859,21
CLINIQUE CHANTECLER,066803677,22
POLYEXPERT MEDITERRANEE,066804824,22
ANDRE BOUVET,067200030,41
VALLEE ATLANTIQUE,067200329,21
RIPOCHE TRANSPORTS,067200543,22
SETIS,067501494,21
CLINIQUE DES CEDRES,067501650,32
SOCOTEC POWER SERVICES,067704650,32
ONET SERVICES,067800425,53
CLINIQUE DE PROVENCE-BOURBONNE,067803452,22
FONCIA MARSEILLE,067803916,22
TURF EDITIONS,067804930,22
SAGA ANGERS,068200500,21
HORTICASH,068200575,21
SOCIETE GUERY,068200781,21
HUSQVARNA CONSTRUCTION PRODUCTS FRANCE,068500206,21
DEUX PONTS,068500982,22
HOM INNOVATIONS POUR ELEGANCE MASCULINE,068801109,21
DAHER TECHNOLOGIES,068803055,41
TGS FRANCE EXPERTISE COMPTABLE PAIE RH,069200210,41
AUGEREAU AUTOCARS,069200616,22
ENTREPRISE BATTAGLINO,069501187,21
TELEM,069502433,32
NERA PROPRETE LITTORAL,069805133,21
LES ATELIERS DIXNEUF,070200118,31
SEGRE DISTRIBUTION,070201132,22
WARNER ELECTRIC EUROPE SAS,070201363,22
ORATIO AVOCATS,070201728,22
ETABLISSEMENTS CLEON,070201785,21
AUTO DAUPHINE RIVES,070500194,21
CHARTREUSE DIFFUSION,070500483,21
TORNIER,070501275,32
SOCIETE ALPINE D'ISOLATION THERMIQUE,070501580,22
SOCAMEL TECHNOLOGIES,070503016,22
LES TELEPHERIQUES DES SEPT LAUX,070503446,22
ACCOPLAS SOCIETE GENERALE DE FERMETURES,070801568,21
SOCIETE FRANCAISE DE PARCS D'ATTRACTIONS,070802269,21
5 A SEC FRANCE,070803903,21
ENTREPRISE BREHERET,071200331,21
BORLIS,071200521,21
BAUDRY,071200760,21
TSD,071201339,21
LES VERGERS D'ANJOU,071201594,21
HORTIVAL DIFFUSION,071202071,31
GEA GRENOBLOISE ELECTRONIQUE AUTOMATISME,071501803,22
DAUPHINE POIDS LOURDS SARL,071502223,21
FAURECIA INTERIEUR INDUSTRIE,071502397,42
ENTREPRISE BRONZO,071800205,32
ST GEORGES,071801617,21
MONDIAL FRUITS SECS,071802375,21
SOC DE VIRIS,071803795,32
KALHYGE 4,071805642,22
SOC LOQUESIENNE DE CHARCUTERIE,071806038,21
LA CROIX CADEAU STE,072200173,21
SOCIETE DE PRODUCTION DE PORTES ET FERMETURES,072200355,22
ANDRE BRIANT JEUNES PLANTS,072200454,21
BISCUITS SAINT GEORGES,072201114,31
CAISSE REGIONALE DU CREDIT MUTUEL D'ANJOU,072202419,41
CARATELLI,072500739,21
IMER FRANCE,072501844,22
SOCIETE INDUSTRIELLE DU LITTORAL MEDITERRANEEN POUR L ENVIRONNEMENT,072800691,32
BOURBON OFFSHORE SURF,072801749,41
ENTREPRISE GLE ELECTRICITE NOEL BERANGER,072802689,22
ENTREPRISE GUIGUES,072802911,22
BOUCHES DU RHONE EXPRESS,072803471,21
C.R.F. LE GRAND LARGE,072806581,21
AEQUS AEROSPACE CHOLET,073201097,21
SA GOZZI SPORTS,073500282,21
LUMIPLAN DUHAMEL,073500605,21
S.D.E.R,073501033,21
SYSTEME DE SECURITE INCENDIE SERVICE,073502981,32
CENTRE DE GERONTOLOGIE DE LA PAGERIE,073801466,21
SPIE BATIGNOLLES ENERGIE GRAND SUD,073801631,21
SAS PASSEDAT LE PETIT NICE,073801938,21
SUEZ RV NIMES,073804122,22
ONYX MEDITERRANEE,073806440,41
DEPAEUW LITTORAL,075450270,21
SOGETRA SOC,075450569,22
MERIBEL ALPINA,075520064,22
VAN ROBAEYS FRERES,075550731,22
SEALOGIS,075650218,22
PREMIUM METROPOLE,075750950,21
POMUNI FRANCE,075751230,21
ENTREPRISE BIANCO ET COMPAGNIE,075820092,22
SEALOGIS FREIGHT FORWARDING,075850115,32
LE COTTAGE SOCIAL DES FLANDRES,075851014,22
TRANSDEV MARTIN,075920058,21
CHEVALIER ENTREPRISE,075920348,21
TIVOLY,076120021,31
SARL HOTEL LE CARLINA,076120039,21
SOC AMENAGEMENT STATION PLAGNE,076220011,32
SAINT FRANCOIS LABELLEMONTAGNE,076220763,21
SARL HOTEL LE PORTETTA,076420553,21
ADS,076520568,32
VERHAEGHE,076550060,22
SOCIETE NOUVELLE DE DESHYDRATATION,076650175,21
MARTOIA T P,076720382,21
ADF NUCLEAIRE TARLIN,076750223,31
SOCIETE DES TELEPHERIQUES DE LA GRANDE MOTTE,076920024,32
DK CONTRACTING,076950377,22
SA SOTARBAT,077120517,21
MARQUIS TRANSPORT ET LOGISTIQUE,077150571,21
AEI   AEI LAMBLIN,077250025,21
AUTOCARS SCHOONAERT,077250314,22
CHAINARMOR SAS,077280089,21
LEON FARGUES,077320133,21
ENTREPRISE VERNIER,077320570,21
ADIDAS FRANCE,085480069,41
EXPLOITATIONS FORESTIERES BARILLET,085480119,31
SOCIETE ORLEANAISE D'ASSAINISSEMENT,085480440,31
PAROT AUTOMOTIVE,085480671,21
LES LABORATOIRES SERVIER,085480796,21
SAFRA,085520195,22
TRANSPORTS JULIEN,085550127,21
THELEM ASSURANCES,085580488,32
PPG DISTRIBUTION,085580983,42
LAITERIE DE SAINT-DENIS DE L'HOTEL,085581494,41
PAPETERIES SILL,085650141,22
THEODORE MAISON DE PEINTURE,085680049,22
D'AUCY ORLEANS,085680783,22
POLYCLINIQUE LONGUES ALLEES,085681278,32
DS SMITH PACKAGING LAROUSSE,085681377,21
SOCIETE ANONYME D'HABITATIONS A LOYER MODERE ELBEUF BOUCLES DE SEINE HABITAT,085750818,21
BAUDIN CHATEAUNEUF,085780534,41
MATERIAUX REUNIS,085781003,21
TRANSDEV LOIRET,085781938,22
LA REPUBLIQUE DU CENTRE,085880037,22
REBORN PYRENEES,085880243,22
GAUTHIER SA,085880615,21
PFEIFFER VACUUM,085980357,41
CAMSO FRANCE SAS,085980498,21
CALDEO,086080397,32
SOCIETE PRODUITS PETROLIERS STELA,086120045,21
SOCIETE D'AMENAGEMENT FONCIER ET D'ETABLISSEMENT RURAL OCCITANIE,086120235,22
LUNEAU TECHNOLOGY OPERATIONS,086150208,21
TRANSPORTS LUCIEN ROBINET,086180023,31
VALLOIRE HABITAT,086180387,32
BALANCON MALIDOR,086280021,21
JOHN DEERE SAS,086280393,42
GALE EAUX MINERALES NATURELLES CHAMBON,086280641,21
SOGECAP,086380730,51
SOCIETE LAVIDA,086520103,32
SOC ENTREPRISE GENERALE J F METZ,086580503,21
BATIMENT TRAVAUX PUBLICS ORLEANAIS,086581204,22
CHARLES RIVER LABORATOIRE FRANCE CRLF,086650041,32
GAILLAC AUTO,086720257,22
CENTRE VIANDES BEAUVALLET FILS,086780202,22
CLINIQUE BELLE ALLEE,086780699,21
S O C C O I M,086880036,41
CENTRE MEDICO CHIRURGICAL ET OBSTETRICAL CLAUDE BERNARD,086920394,41
VAL DE LOIRE IMMOBILIER,086971017,21
CLINIQUE DE L'ARCHETTE,086980075,31
SOCIETE JORDENEN,086980455,21
S A D A M,087220380,31
MAURY IMPRIMEUR SA,087280061,41
OUTAREX,087281184,22
INGENIERIE BETON SYSTEME,094125275,22
SOCIETE MAHORAISE DE TRAVAUX PUBLICS ET DE CONSTRUCTION SNC,094129475,22
SOCIETE IMMOBILIERE DE MAYOTTE,094130101,22
LECLERE FRERES,094130994,21
MAYCO,094131885,22
SOCIETE MAHORAISE D'ACCONAGE DE REPRESENTATION ET DE TRANSIT,094134962,22
SARL MAYOTTE AIR SERVICE,094136678,21
SOCIETE MAHORAISE DE COMMERCE,094137098,21
SOCIETE EXPLOITATION SOURCES ROXANE,095420014,32
LEGRAS INDUSTRIES,095550307,32
TEREGA,095580841,41
TRANSPORTS PALOIS REUNIS,095680393,21
HABITELEM,095680526,21
ABCIS PYRENEES BY AUTOSPHERE,095680831,31
HEXAOM,095720314,41
POL ROGER ET COMPAGNIE SA,095750113,21
IMPRIMERIE BILLET,095750196,22
CHAMPAGNE PERRIER-JOUET,095750261,21
FROMAGERIE LINCET,095750287,22
KEOS EPERNAY SEZANNE BY AUTOSPHERE,095750295,21
PRYSMIAN CABLES ET SYSTEMES FRANCE,095750311,42
PASTURAL ET COMPAGNIE,095750337,22
PAU BEARN HABITAT,095780219,22
BOURGEY MONTREUIL AQUITAINE,095780284,21
KNORR-BREMSE SYSTEMES FERROVIAIRES FRANCE SA,095781720,22
DRAGAGES DU PONT DE LESCAR,095782223,21
MAISON BURTIN,095850624,22
PM PRO,095850723,22
PYRENEES PRESSE,095880365,21
PEDAVIA,095880704,21
BANQUE POUYANNE,096080577,21
SA D HLM AMENAGEMENT GESTION IMMOBILIERE,096220033,22
MAS BTP,096280250,32
EIFFAGE CONSTRUCTION SUD AQUITAINE,096280557,32
PAU AUTOMOBILES,096380076,21
SOCIETE D'AMENAGEMENT FONCIER ET D'ETABLISSEMENT RURAL NOUVELLE-AQUITAINE,096380373,22
MARTEL SAS,096450176,21
ROIMIER - TESNIERE,096520051,21
BETON CONTROLE DU BEARN,096680244,21
GIRARD TRANSMISSIONS SA,096680640,21
ETABLISSEMENTS MAILLARD,096820097,32
SA HLM VILLE D'ALENCON ET DE L'ORNE LE LOGIS FAMILIAL,096820121,21
VIAFRANCE NORMANDIE,096920103,31
UNION CHAMPAGNE,096950514,21
BAYI TRUCKS,097020184,22
SOCIETE DE DIFFUSION ET DE PRODUCTION SERIGRAPHIQUE,097120117,21
PRECICULTURE,097150353,22
VIGNOBLES MUMM PERRIER-JOUET,097160022,22
EXAMECA,097180509,32
LA BRIQUETERIE,097250203,21
ETABLISSEMENTS CANCE,097280234,32
MECANIQUE AERONAUTIQUE PYRENEENNE,097280937,32
ENTREPRISE DE TRAVAUX PUBLICS ET DE CONCASSAGE,099378333,22
ELECTRICITE DE MAYOTTE,099380495,32
SOCIETE DE DISTRIBUTION FRANCO MAHORAISE SAS,099382913,32
SOGEA MAYOTTE,099382921,22
ASSISTANCE ET TRAVAUX POUR L'INDUSTRIE ET LES COLLECTIVITES,300022175,21
FAMILLE MARY RUCHE BEAU RIVAGE,300030574,21
HENDRIX GENETICS TURKEYS FRANCE,300030616,32
EVENO SAS,300030780,31
ETABLISSEMENTS ROMAIRE,300031226,21
JAY ELECTRONIQUE,300032380,21
D.M.AUTOS,300056538,21
FLANDRE EXPRESS,300089174,22
SENIOR & CIE,300094562,22
AUBINEAU CONSTRUCTEUR,300095544,22
COOPERATIVE FRUITIERE DU LIMOUSIN,300095692,22
MECANIQUE AUTOMOBILE SA,300095742,31
SEM ESPACES VERTS,300096385,21
SAS RAOUL MONNOT,300110558,21
M.G.O. LEPAUL SA,300124591,21
LA REINE BLANCHE,300125424,21
OUEST INDUSTRIE,300125788,21
TRANSPORTS DI EGIDIO,300132826,22
GROUPEM EUROPORT SUD REALISAT TRANSPORT,300156171,22
STEF TRANSPORT ROUEN,300156437,22
SA MECANIQUE OUTILLAGE VIVARAIS,300157682,22
DE SANGOSSE,300163896,31
TRANSPORTS GUYAMIER,300164381,22
LABORATOIRE BIOCENTRE,300170636,21
CENTRE MEDICAL ET CHIRURGICAL DU LANGUEDOC,300179546,22
SARL MAILLOCHON,300180759,21
SONEPAR SUD OUEST,300188778,32
GOBE,300209095,32
SERVICE CENTRES AERO FRANCE,300209715,21
DECOTEC,300218468,22
DISTRISUD,300219904,22
ETABLISSEMENTS EMILY,300220654,21
GROUPE EUROPEEN PARTNER'S,300220985,21
SOTERLY,300231586,21
TRANSPORTS LOGISTIQUE LELEU,300238060,22
TRANSPORTS BERNADOU,300267788,21
"DEVIC, MENUISERIES INDUSTRIELLES",300268240,21
GABRIELLE,300286341,21
DOREL FRANCE,300299765,32
FLUIDRA COMMERCIAL FRANCE,300300290,22
SOCIETE ETABLISSEMENTS ROBERT,300301637,21
S.I.B. THEBAULT,300326162,21
COMELEC,300335783,22
LEDA,300345196,21
NAF NAF,300345808,41
FONCIA HAUTS DE FRANCE,300347333,22
CLINIQUE MEDICALE VICTOR HUGO,300377298,22
CLINIQUE AMBROISE PARE,300379765,32
SEMIN,300398880,32
SOCIETE D'EXPLOITATION DE TRAVAUX ET D'ENROBAGE DU CENTRE,300412822,22
ETABLISSEMENTS J. FOURNIER,300425907,21
SDE,300426046,21
SAINT GOBAIN GLASS SOLUTIONS PARIS CENTRE NORMANDI,300462413,31
EXPERTISE COMPTABLE ET AUDIT,300465093,21
UNION VIGNERONS COTES LUBERON,300474020,21
1317 NOTAIRES,300474574,21
SA DACO FRANCE,300482916,22
MARTIN SELLIER,300484367,21
UNITOL SAS,300511904,22
FAPMO,300514254,21
DKV EURO SERVICE FRANCE,300558400,21
ETS CONSTANT BOSSI,300558905,21
MESSER FRANCE,300560588,32
L'ECOLE  L'ECOLE DES LOISIRS,300570181,32
PRAXAIR MRC S.A.S.,300570942,21
PETIT FORESTIER LOCATION,300571049,42
LES ETUIS MIRAULT,300571080,22
BIOPYRENEES,300572336,22
CLINIQUE DE L'ETANG DE L'OLIVIER,300572930,22
CCF,300573193,22
TERUMO FRANCE SAS,300573714,22
TRANSCAT AQUITAINE,300577624,21
BALESI AUTOMOBILE,300586369,21
SOC GESTION ETS MARROU CASTELLANE,300643632,21
KVERNELAND GROUP FRANCE SAS,300644853,21
BOURGEY MONTREUIL FRANCILIENNE,300645124,21
TESSI MD,300647609,21
RIVIERA TECHNIC,300648441,22
ROTOMOD,300685609,21
GROUPEMENT TROYEN D'ELECTRONIQUE,300691995,21
SOC BASCO-LANDAISE VEHICULES,300701067,22
LECTRA,300702305,41
GIL TURPEAU BATIMENT (GTB),300705761,21
RICHEL EQUIPEMENT,300705779,21
CHAUSSADE DUBOE TRANSPORTS,300725132,22
SALAISONS DU MACONNAIS,300747029,22
CASINO DE ST VALERY EN CAUX,300758265,21
GENIE CIVIL INDUSTRIEL - GCI,300758653,21
STE DIFFAZUR,300759883,21
GAP SUD,300760014,22
RESSORTS MASSELIN,300773603,22
HOPITAL PRIVE DE BOIS BERNARD,300774403,32
BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT FRANCE,300794278,22
SOCIETE D'ETUDES ET D'INSTALLATIONS DE CONDITIONNEMENT D'AIR ET DE REFRIGERATION,300794427,21
INSTITUT DES METIERS DE L'ENSEIGNEMENT SUPERIEUR,300795481,21
METALLERIES DU FOREZ - ETABLISSEMENTS BLANCHET,300795960,22
A A A LOCATOUR,300796232,21
TRANSPORTS VECATEL,300796554,21
SOCIETE LUCONNAISE DE MAGASINS,300817319,22
CLINIQUE DES ESSARTS,300818580,21
SERGE FERRARI SAS,300821873,32
SERVI COULEURS,300822186,21
ROUSSEL FRERES PRECISION MECANIQUE,300846532,21
ETABLISSEMENTS PRETOT FRERES,300846797,21
MARIGNY ET JOLY,300849890,21
SORECA AUTOMOBILES,300854106,22
PAROT AUTOMOTIVE,300862562,21
SAS CENTRAL HOTEL,300863990,21
STE BEARNAISE DE GESTION INDUSTRIELLE,300881265,31
TRANSPORTS TRAZIT,300881984,21
DEMGY ATLANTIQUE,300882016,22
VCF OF REHABILITES IDF,300939113,31
SAINT GOBAIN RECHERCHE,300960754,32
DSV AIR & SEA SAS,300961018,22
FONCIA VAL DE VIENNE,300961356,21
NEPHROCARE RHONE ALPES,300964715,22
MARTIN,300967239,21
